,Color,Efficiency,Efficiency Certification,Fanless,Manufacturer,Model,Modular,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part Number,Type,Wattage
163,,90% (115VAC) / 92% (220VAC~240VAC) or Higher Typical,80+ Gold,,EVGA,SuperNOVA 550,Full,"+3.3V@20A, +5V@20A, +12V@45A, +5VSB@2.5A, -12V@0.3A",4,,,220-GS-0550-V1 / 220-GS-0550-V2,ATX12V / EPS12V,550 W
164,,,,,Solid Gear,,Semi,,1,1,,SDGR-750E,ATX,750 W
165,,> 85%,80+ Bronze,,XFX,,False,"+3.3V@24A, +5V@24A, +12V@44A, -12V@0.5A, +5VSB@2.5A",1,1,,P1-550S-XXB9,ATX12V / EPS12V,550 W
166,Black,,80+ Bronze,,Cooler Master,,Semi,,4,,,MPX-7501-AMAAB-US / MPX-7501-AMAAB-AU / MPX-7501-AMAAB-EU / MPX-7501-AMAAB-UK,ATX,750 W
167,,,80+ Gold,,Corsair,RM750i,Full,,4,,,CP-9020082-NA / CP-9020082-EU / CP-9020082-UK,ATX,750 W
168,,Up to 90% @ Typical Load,80+ Gold,,XFX,,False,"0.3A@-12V, 62A@+12V, 20A@+3.3V, 20A@+5V, 2.5A@+5VSB",4,,,P1-750G-TS3X,ATX12V / EPS12V,750 W
169,,> 80%,80+ Bronze,,Corsair,,False,"+3.3V@20A, +5V@20A, +12V@32A, -12V@0.8A, +5VSB@3.0A",1,,,CX430,ATX12V,430 W
170,,,80+ Gold,,Corsair,RM850i,Full,,6,,,CP-9020083-NA / CP-9020083-EU / RM850i / CP-9020083-UK / CP-9020083-AU,ATX,850 W
171,Black / Silver,,80+ Gold,,Corsair,RM650x (2018),Full,,4,,,CP-9020178-NA / CP-9020178-UK / CP-9020178-EU,ATX,650 W
172,,> 80%,80+ Bronze,,Corsair,,False,"+3.3V@25A, +5V@25A, +12V@46A, -12V@0.8A, +5VSB@3.0A",2,,,CX600 / CP-9020048-UK / CP-9020048-US / CP-9020048-NA / CP-9020048-EU,ATX12V,600 W
173,,,80+,,EVGA,,False,,2,,,100-W1-0500-KR,ATX12V / EPS12V,500 W
174,,,80+ Bronze,,EVGA,,False,,2,,,100-BR-0500-K1,ATX,500 W
175,,< 85%,80+ Bronze,,OCZ,,Full,"+3.3V@25A, +5V@25A, +12V@62.5A, -12V@0.3A, +5Vsb@3.0A",4,,,OCZ-FTY750W,ATX12V / EPS12V,750 W
176,,85-88%,80+ Silver,,Silverstone,,Full,,2,2,,ST85F-P / SST-ST85F-P,ATX12V / EPS12V,850 W
177,,,80+ Gold,,Thermaltake,,Full,,6,,,PS-TPG-0850DPCGUS-G,ATX12V / EPS12V,850 W
178,Black,,80+ Silver,,Corsair,,Semi,,4,,,CP-9020175-NA / CP-9020175-EU / CP-9020175-UK / CP-9020175-AU,ATX,650 W
179,,85-88%,80+ Silver,,Silverstone,,Full,,4,,,ST75F-P / SST-ST75F-P,ATX12V / EPS12V,750 W
180,,,80+ Bronze,,Antec,,False,"+3.3V@25A, +5V@25A, +12V1@40A, +12V2@40A, +12V3@40A, +12V4@40A, -12V@0.5A, +5VSB@3.0A",4,,,HCG-750 / HCG750 BRONZE,ATX12V / EPS12V,750 W
181,,,80+ Titanium,,EVGA,SuperNOVA 1600,Full,"+3.3V@24A, +5V@24A, +12V@133.3A, +5VSB@3A, -12V@0.5A",9,5,,220-T2-1600-X1 / 220-T2-1600-X3,ATX12V / EPS12V,1600 W
182,,,80+,,EVGA,,False,,2,,,100-W1-0600-K1,ATX,600 W
183,Black,,80+ Gold,,NZXT,E500,Full,,2,,,NP-1PM-E500A,ATX,500 W
184,,< 94%,80+ Platinum,,Antec,,Full,,6,,,HCP-850 Platinum,ATX12V / EPS12V,850 W
185,Black,,80+ Gold,,Antec,EARTHWATTS GOLD PRO 750,Semi,,4,,,EA750G Pro,ATX,750 W
186,,Typical > 90%,80+ Gold,,FSP Group,,False,"+3.3V@14A, +5V@16A, +12V1@18A, +12V2@18A, -12V@0.5A, +5VSB@3.0A",,,1,FSP400-60FGGBA,Flex ATX,400 W
187,,,80+ Gold,,Corsair,TX550M Gold,Semi,"+3.3V@25A, +5V@25A, +12V@43A, -12V@0.8A, +5TX-MB@3A",2,,,CP-9020133-NA / CP-9020133-UK,ATX,550 W
188,,,80+ Bronze,,Corsair,CX450M (2015),Semi,,2,,,CP-9020101-NA / CP-9020101-UK / CP-9020101-AU,ATX,450 W
189,,90% Typ.,80+ Gold,,EVGA,SuperNOVA 1300,Full,"+3.3V@24A, +5V@24A, +12V@108.3A, +5VSB@3A, -12V@0.5A",6,,,120-G2-1300-XR,ATX12V / EPS12V,1300 W
190,,< 86%,80+ Bronze,,Sparkle,,False,,,,,SPI4601UG-B204,EPS12V,460 W
191,,,80+ Gold,,Corsair,RM850x,Full,,6,,,CP-9020093-NA / RM850x / CP-9020093-UK,ATX,850 W
192,Black,,80+ Gold,,Thermaltake,Toughpower Grand RGB 750 SE,Full,,4,,,PS-TPG-0750FPCGUS-S,ATX,750 W
193,,,,,CoolMax,,False,"+5V@21A, +3.3V@22A, +12V@34A, -12V@1A, +5VSB@2.5A",,,,I-500,ATX,500 W
194,Black,,80+ Gold,,EVGA,,Full,,4,,,120-GP-0750-X1,ATX,750 W
195,Black,,80+ Platinum,,SeaSonic,PRIME Ultra Platinum 1000,Full,,8,,,SSR-1000PD-U,ATX,1000 W
196,,85%,80+ Bronze,,Cooler Master,,Semi,"+3.3V@22A, +5V@22A, +12V@66A, -12V@0.3A, +5VSB@3.0A",6,,,RS850-AMBAJ3-US,ATX12V / EPS12V,850 W
197,Black / Silver,,80+ Platinum,,Phanteks,,Full,,8,,,PH-P1200PS / PH-P1200PS_US,ATX,1200 W
198,,82-87%,80+ Bronze,,Rosewill,,Semi,"+3.3V@22A,+5V@22A,+12V@46A,-12V@0.3A,+5VSB@3A",2,,,Hive-650,ATX12V / EPS12V,650 W
199,,Up to 92%,80+ Gold,,Rosewill,,Full,"+3.3V@20A,+5V@20A,+12V@45.9A,-12V@0.3A,+5VSB@3A",2,,,PHOTON-550,ATX12V / EPS12V,550 W
200,,> 87%,80+ Gold,,Silverstone,,Full,"+3.3V@22A, +5V@18A, +12V@45A, -12V@0.3A, +5VSB@2.5A",1,1,,ST55F-G / SST-ST55F-G,ATX12V / EPS12V,550 W
201,,,80+ Gold,,Corsair,RM650x,Full,,4,,,CP-9020091-NA / RM650x / CP-9020091-UK,ATX,650 W
202,,< 85%,80+ Bronze,,Corsair,,Semi,"+3.3V@30A, +5V@30A, +12V@54A, -12V@0.8A, +5VSB@3A",2,,,TX650M / CP-9020002-UK / CP-9020039-NA,ATX12V / EPS12V,650 W
203,,85% Efficiency,80+ Bronze,,EVGA,,Full,"+3.3V@20A, +5V@20A, +12V@54.1A, +5Vsb@3A, -12V@0.5A",3,,,220-B3-0650-V1 / 220-B3-0650-V3,ATX,650 W
204,Black,,80+ Platinum,,Thermaltake,Toughpower iRGB PLUS 850 Platinum,Full,,6,,,PS-TPI-0850F2FDPU-1,ATX,850 W
205,,< 80%,80+,,Corsair,HX1000,Semi,"+3.3V@30A, +5V30A, +12V1@40A, +12V2@40A, -12V@0.8A, +5VSB@3.5A",6,,,CMPSU-1000HX,ATX12V / EPS12V,1000 W
206,,Up to 90%,80+ Bronze,,XFX,,False,"+3.3V@20A, +5V@20A, +12V@45A, -12V@0.3A, +5VSB@2.5A",1,1,,XFX TS 550W / P1-550S-GREN / P1550SXXB9,ATX12V,550 W
207,,,,,Logisys,,False,,,,,PS550E12BK,ATX12V,550 W
208,,> 85%,80+ Silver,,Silverstone,,Full,"+3.3V@20A, +5V@20A, +12V@49A, -12V@0.5A, +5VSB@3.0A",2,2,,ST60F-PS / SST-ST60F-PS,ATX12V / EPS12V,600 W
209,,,,,Athena Power,,False,"+3.3V@13A, +5V@13A, +12V1@9A, +12V2@9A, -12V@0.8A, +5VSB@2.5A",,,,AP-MTFX30,ATX12V,300 W
210,,85% Typical,80+ Bronze,,EVGA,SuperNOVA NEX750B,Semi,"+3.3V@25A, +5V@25A, +12V1@20A, +12V2@20A, +12V3@20A, +12V4@20A, +5Vsb@3A, -12V@0.8A",3,,,110-B1-0750-VR,ATX12V / EPS12V,750 W
