,CAS Latency,Color,ECC,Heat Spreader,Manufacturer,Model,Part Number,Price/GB,Registered,Size,Speed,Timing,Type,Voltage
292,15,White,False,True,Corsair,,CMK16GX4M2B3000C15W,$6.19,False,16 GB (2 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
293,16,Black,False,True,G.Skill,,F4-3000C16D-16GTZR,$6.25,False,16 GB (2 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
294,15,Red,False,True,G.Skill,,F4-2133C15Q-64GVR,$4.62,False,64 GB (4 x 16 GB),DDR4-2133,,288-pin DIMM,1.2 V
295,18,Black,False,True,Corsair,,CMW64GX4M8X3600C18,$10.94,False,64 GB (8 x 8 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
296,16,Black,False,True,G.Skill,,F4-3200C16Q-64GTZR,$6.42,False,64 GB (4 x 16 GB),DDR4-3200,16-18-18-38,288-pin DIMM,1.35 V
297,19,Red / Black,False,True,OLOy,,MD4U082619BBSA,$5.00,False,8 GB (1 x 8 GB),DDR4-2666,19-19-19-43,288-pin DIMM,1.2 V
298,15,Black / Red,False,True,G.Skill,,F4-3000C15D-8GVRB,$14.73,False,8 GB (2 x 4 GB),DDR4-3000,,288-pin DIMM,1.35 V
299,16,Black,False,True,Corsair,,CMT64GX4M4C3466C16,$9.37,False,64 GB (4 x 16 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
300,14,Gold,False,True,G.Skill,,F4-3200C14D-16GTRG,$13.50,False,16 GB (2 x 8 GB),DDR4-3200,14-14-14-34,288-pin DIMM,1.35 V
301,14,Black / Yellow,False,True,Corsair,,CMK16GX4M2A2400C14,$5.12,False,16 GB (2 x 8 GB),DDR4-2400,14-14-16-31,288-pin DIMM,1.2 V
302,16,Silver / Black,False,True,Patriot,,PVE416G266C6KGY,$4.87,False,16 GB (2 x 8 GB),DDR4-2666,16-17-17-36,288-pin DIMM,1.2 V
303,16,Black / Yellow,False,True,Corsair,,CMK32GX4M2A2666C16,$5.00,False,32 GB (2 x 16 GB),DDR4-2666,16-18-18-35,288-pin DIMM,1.2 V
304,22,Green / Black,False,False,Crucial,,CT2K4G4DFS632A,$7.12,False,8 GB (2 x 4 GB),DDR4-3200,,288-pin DIMM,1.2 V
305,16,White,False,True,Crucial,,BLS4K8G4D26BFSCK,$5.41,False,32 GB (4 x 8 GB),DDR4-2666,,288-pin DIMM,1.2 V
306,13,Black / Yellow,False,True,Corsair,,CMK16GX4M2A2133C13,$4.81,False,16 GB (2 x 8 GB),DDR4-2133,13-15-15-28,288-pin DIMM,1.2 V
307,9,,False,True,Corsair,,CML16GX3M2A1600C10R,$5.31,False,16 GB (2 x 8 GB),DDR3-1600,9-9-9-24,240-pin DIMM,1.5 V
308,14,Black,False,True,G.Skill,,F4-3200C14Q-64GVK,$9.78,False,64 GB (4 x 16 GB),DDR4-3200,,288-pin DIMM,1.35 V
309,16,Black,False,True,Corsair,,CMT32GX4M2C3466C16,$9.37,False,32 GB (2 x 16 GB),DDR4-3466,16-18-18-36,288-pin DIMM,1.35 V
310,16,Black / White,False,True,Kingston,,HX426C16FB/16,$5.96,False,16 GB (1 x 16 GB),DDR4-2666,,288-pin DIMM,1.2 V
311,16,Black,False,True,Corsair,,CMT32GX4M4Z3200C16,$9.37,False,32 GB (4 x 8 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
312,16,Black / Yellow,False,True,Corsair,,CMK32GX4M4A2666C16,$5.19,False,32 GB (4 x 8 GB),DDR4-2666,16-16-18-35,288-pin DIMM,1.2 V
313,18,Black,False,True,Corsair,,CMT32GX4M4C3600C18,$11.87,False,32 GB (4 x 8 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
314,17,Black,False,True,G.Skill,,F4-3600C17Q-64GTZR,$10.41,False,64 GB (4 x 16 GB),DDR4-3600,17-19-19-39,288-pin DIMM,1.35 V
315,14,Black / Yellow,False,True,Corsair,,CMK32GX4M2A2400C14,$4.94,False,32 GB (2 x 16 GB),DDR4-2400,14-16-16-31,288-pin DIMM,1.2 V
316,18,Black,False,True,Corsair,,CMT64GX4M4K3600C18,$10.78,False,64 GB (4 x 16 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
317,16,Silver / Black,False,True,Crucial,,BLS2K16G4D32AESB,$6.25,False,32 GB (2 x 16 GB),DDR4-3200,,288-pin DIMM,1.35 V
318,15,Red,False,True,Corsair,,CMK16GX4M2B3000C15R,$6.19,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
319,11,Black / Blue,False,True,G.Skill,,F3-2400C11Q-16GXM,$5.69,False,16 GB (4 x 4 GB),DDR3-2400,,240-pin DIMM,1.65 V
320,18,Black,False,True,Corsair,,CMR16GX4M2C3600C18,$15.47,False,16 GB (2 x 8 GB),DDR4-3600,18-19-19-39,288-pin DIMM,1.35 V
321,16,Black,False,True,G.Skill,,F4-2400C16D-16GFX,$4.99,False,16 GB (2 x 8 GB),DDR4-2400,16-16-16-39,288-pin DIMM,1.2 V
322,15,White / Gray,False,True,OLOy,,MD4MU081G83015D,$4.81,False,16 GB (2 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
323,15,Black,False,True,G.Skill,,F4-3000C15D-16GVGB,$5.93,False,16 GB (2 x 8 GB),DDR4-3000,,288-pin DIMM,1.35 V
324,15,Black,False,True,Corsair,,CMR32GX4M4C3000C15,$6.25,False,32 GB (4 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
325,16,Red,False,True,Kingston,Kingston Fury Red 16GB (2x8GB) DDR4 PC4-21300C16 2666MHz Dual Channel Kit (HX426C16FR2K2/16),HX426C16FR2K2/16,$6.88,False,16 GB (2 x 8 GB),DDR4-2666,,288-pin DIMM,1.2 V
326,18,Black,False,True,G.Skill,,F4-4000C18D-16GTZR,$14.75,False,16 GB (2 x 8 GB),DDR4-4000,18-19-19-39,288-pin DIMM,1.35 V
327,16,Gray / Silver,False,True,Crucial,,BLS2K4G4D240FSA,$7.49,False,8 GB (2 x 4 GB),DDR4-2400,,288-pin DIMM,1.2 V
328,15,Black / Red,False,True,G.Skill,,F4-2400C15S-16GIS,$4.44,False,16 GB (1 x 16 GB),DDR4-2400,,288-pin DIMM,1.2 V
329,16,Black,False,True,GeIL,,GASB48GB2400C16DC,$5.12,False,8 GB (2 x 4 GB),DDR4-2400,16-16-16-36,288-pin DIMM,1.2 V
330,15,Black / Gray,False,True,Team,,TLGD432G2400HC15BDC01,$4.84,False,32 GB (2 x 16 GB),DDR4-2400,15-17-17-35,288-pin DIMM,1.2 V
331,17,Black / Yellow,False,True,Corsair,,CMK64GX4M4K3733C17,$13.12,False,64 GB (4 x 16 GB),DDR4-3733,17-19-19-39,288-pin DIMM,1.35 V
332,14,Black / Yellow,False,True,Corsair,,CMK8GX4M1A2400C14,$5.37,False,8 GB (1 x 8 GB),DDR4-2400,14-16-16-31,288-pin DIMM,1.2 V
333,19,Green / Black,False,False,Crucial,,CT2K16G4DFD8266,$5.69,False,32 GB (2 x 16 GB),DDR4-2666,,288-pin DIMM,1.2 V
334,16,White,False,True,Corsair,,CMK32GX4M2B3200C16W,$6.25,False,32 GB (2 x 16 GB),DDR4-3200,16-18-18-36,288-pin DIMM,1.35 V
335,15,Black / Silver,False,True,Patriot,,PVR416G300C5K,$6.81,False,16 GB (2 x 8 GB),DDR4-3000,15-17-17-35,288-pin DIMM,1.35 V
336,19,Red / Black,False,True,G.Skill,,F4-3600C19S-8GVRB,$6.25,False,8 GB (1 x 8 GB),DDR4-3600,19-20-20-40,288-pin DIMM,1.35 V
337,17,Silver,False,True,G.Skill,,F4-4000C17D-16GTRS,$17.87,False,16 GB (2 x 8 GB),DDR4-4000,17-17-17-37,288-pin DIMM,1.35 V
338,15,Black,False,True,Corsair,,CMV8GX4M1A2133C15,$5.25,False,8 GB (1 x 8 GB),DDR4-2133,15-15-15-36,288-pin DIMM,1.2 V
339,16,White / Gray,False,True,OLOy,,MD4MU081G83016NI,$4.62,False,8 GB (1 x 8 GB),DDR4-3000,16-18-18-38,288-pin DIMM,1.35 V
