,CPU Socket,Chipset,Color,CrossFire Support,Form Factor,Half Mini-PCI-Express,Manufacturer,Maximum Supported Memory,Memory Slots,Memory Type,Micro SATA 6 Gb/s,Mini-PCI-Express,Mini-PCI-Express/mSATA,Model,Onboard Ethernet,Onboard USB 3.0 Header(s),Onboard Video,PATA 100,Part Number,RAID Support,SATA 3 Gb/s,SATA 6 Gb/s,SATA Express,SLI Support,U.2,U.2 (SFF-8639),eSATA 3Gb/s,eSATA 6Gb/s
320,LGA2066,Intel X299,Black / Silver,True,ATX,,MSI,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3733 / 4000 / 4133 / 4266,,,,,1 x 1000 Mbit/s,True,False,,X299 GAMING PRO CARBON AC,True,,8,,3-way SLI,1,,,
321,LGA1151,Intel B360,Brown / Black,False,Micro ATX,,MSI,32 GB,2 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,False,,"B360M PRO-VH, (or)",False,,6,,False,,,,
322,LGA1151,Intel C246,Black / Silver,True,ATX,,Asus,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,2 x 1000 Mbit/s,True,True,,WS C246 PRO,True,,8,,False,,,,
323,LGA1151,Intel B360,Black / Silver,True,Micro ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,B360M Pro4,False,,6,,False,,,,
324,LGA1151,Intel Z390,Black / Silver,True,ATX,,EVGA,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3466 / 3600 / 3733 / 3866 / 4000 / 4133,,,,Z390 FTW,1 x 1000 Mbit/s,True,False,,123-CS-E397-KR,True,,6,,True,,,,
325,LGA1150,Intel C224,Blue / White,False,Mini ITX,,ASRock,16 GB,2 x 240-pin DIMM,DDR3-1333 / 1600,,,,,3 x 1000 Mbit/s,True,True,,E3C224D2I,True,2,4,,False,,,,
326,LGA1151,Intel Z390,Black / Silver,True,Micro ATX,,ASRock,64 GB,4 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 2933 / 3200 / 3600 / 3733 / 3800 / 3866 / 4000 / 4133 / 4266,,,,,1 x 1000 Mbit/s,True,Depends on CPU,,Z390M Pro4,True,,6,,False,,,,
327,LGA2066,Intel X299,Black,True,ATX,,Asus,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3600 / 4000,,,,,1 x 1000 Mbit/s,True,False,,TUF X299 MARK 2 / 90MB0UB0-M0EAY0,True,,6,,3-way SLI,,,,
328,TR4,AMD X399,Black / Silver,True,ATX,,ASRock,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2933 / 3200 / 3400,,,,,"1 x 1000 Mbit/s, 1 x 2.5 Gbit/s",True,False,,X399 Phantom Gaming 6,True,,8,,3-way SLI,,,,
329,LGA2066,Intel X299,Black / Gray,True,ATX,,Gigabyte,128 GB,8 x 288-pin DIMM,DDR4-2133 / 2400 / 2666 / 2800 / 3000 / 3200 / 3300 / 3333 / 3400 / 3466 / 3600 / 3666 / 3733 / 3800 / 3866 / 4000 / 4133 / 4266 / 4333,,,,,1 x 1000 Mbit/s,True,False,,X299 UD4 / X299 UD4 (rev. 1.0),True,,8,,3-way SLI,,,,
