,Boost Clock,Chipset,Color,Core Clock,CrossFire Support,DVI-D Dual-Link,DVI-D Single-Link,DVI-I Dual-Link,DisplayPort,Fan,HDMI,Interface,Length,Manufacturer,Memory Size,Memory Type,Mini-Display Port,Mini-HDMI,Model,Part Number,S-Video,SLI Support,Supports Freesync,Supports G-Sync,TDP,VGA,VHDCI,VirtualLink
74,1.411 GHz,Radeon RX 580,Black / Silver,,4-way CrossFire,1,,,2,True,2,PCI-Express x16,"260 mm / 10.236""",Sapphire,4 GB,GDDR5,,,,100411NT+4G-2L / 11265-31-20G,,False,True,,185 W,,,
75,1.67 GHz,GeForce GTX 1080 Ti,Silver,1.556 GHz,False,1,,,3,True,1,PCI-Express x16,"267 mm / 10.512""",EVGA,11 GB,GDDR5X,,,,11G-P4-6593-KR,,True,,True,250 W,,,
76,,GeForce GTX 660,Black / Silver,1.046 GHz,False,1,,1,1,True,1,PCI-Express x16,"241 mm / 9.488""",EVGA,2 GB,GDDR5,,,,02G-P4-2662-KR,,True,,True,140 W,,,
77,1.845 GHz,GeForce GTX 1660,Black / Gray,1.53 GHz,False,1,,,1,True,1,PCI-Express x16,"205 mm / 8.071""",Asus,6 GB,GDDR5,,,,TUF-GTX1660-O6G-GAMING,,False,,True,120 W,,,
78,1.455 GHz,GeForce GTX 1050,Black,1.354 GHz,False,1,,,1,True,1,PCI-Express x16,"178 mm / 7.008""",PNY,2 GB,GDDR5,,,,VCGGTX10502PB,,False,,True,71 W,,,
79,1.74 GHz,GeForce RTX 2060,Black / Gray,1.365 GHz,False,1,,,1,True,2,PCI-Express x16,"204 mm / 8.031""",Asus,6 GB,GDDR6,,,ASUS TUF Gaming GeForce RTX 2060 6GB Edition 4K VR Ready HDMI 2.0b DP 1.4 Auto Extreme Graphics Card (TUF-RTX2060-O6G-GAMING),TUF-RTX2060-O6G-GAMING,,False,,True,160 W,,,
80,1.905 GHz,GeForce RTX 2080,Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"324 mm / 12.756""",Zotac,8 GB,GDDR6,,,,ZT-T20800B-10P,,True,,True,215 W,,,1
81,,GeForce 210,Black / Blue,520 MHz,False,,,1,,True,1,PCI-Express x16,"197 mm / 7.756""",Gigabyte,1 GB,DDR3,,,,GV-N210D3-1GI REV6.0,,False,,,31 W,1,,
82,1.845 GHz,GeForce RTX 2080,Black,1.515 GHz,False,,,,3,True,1,PCI-Express x16,"314 mm / 12.362""",MSI,8 GB,GDDR6,,,,RTX 2080 DUKE 8G OC,,True,,True,245 W,,,1
83,1.203 GHz,Radeon RX 550 - 512,Black,,True,1,,,,True,1,PCI-Express x16,"170 mm / 6.693""",MSI,4 GB,GDDR5,,,,RX 550 4GT LP OC,,False,True,,75 W,,,
