,Cache,Capacity,Color,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Manufacturer,Model,NAND Flash Type,Part Number,Power Loss Protection,Price/GB,RPM,SSD Controller
300,512 MB,500 GB,Black,"2.5""",6.25,,SATA 6 Gb/s,Samsung,,,MZ-76E500B/AM / MZ-76E500B/EU / MZ-76E500BW,,$0.160,,
301,64 MB,1 TB,,"3.5""",22.75,,SATA 6 Gb/s,Western Digital,,,WD10EURX,,$0.044,5400,
302,32 MB,500 GB,,"3.5""",13.52,,SATA 3 Gb/s,Seagate,,,ST3500514NS,,$0.074,7200,
303,512 MB,250 GB,Black / Green,M.2-2280,3.68,,M.2 (B+M),Samsung,,,MZ-N6E250BW,,$0.272,,
304,,512 GB,Blue / Black,M.2-2280,6.83,,M.2 (M),Team,,,TM8FP4512G0C101,,$0.146,,
305,,240 GB,Black,"2.5""",5.47,,SATA 6 Gb/s,Gigabyte,,,GP-GSTFS31240GNTD,,$0.183,,
306,512 MB,512 GB,,M.2-2280,2.65,,M.2 (M),Samsung,,3D V-NAND,MZ-V6P512BW / MZ-V6P512,,$0.377,,
307,,128 GB,,"2.5""",5.59,,SATA 6 Gb/s,Silicon Power,,,SU128GBSS3A55S25AE,,$0.179,,
308,64 MB,1 TB,,"2.5""",17.96,8.389 GB,SATA 6 Gb/s,Seagate,,,ST1000LM014,,$0.056,5400,
309,,4 TB,,PCI-E,0.45,,PCI-Express x8,Intel,,,SSDPECME040T401,,$2.217,,
310,128 MB,2 TB,,"3.5""",20.00,,SATA 6 Gb/s,Seagate,,,ST2000DM009,,$0.050,7200,
311,,2 TB,,"2.5""",8.00,,SATA 6 Gb/s,Micron,,,MTFDDAK2T0TBN-1AR1ZABYY,,$0.125,,
312,,256 GB,Red / Black,M.2-2280,4.27,,M.2 (M),ADATA,,,AGAMMIXS11P-256GT-C,,$0.234,,
313,64 MB,1 TB,,"3.5""",20.00,,SATA 6 Gb/s,Seagate,,,ST1000DMZ10,,$0.050,5400,
314,64 MB,4 TB,,"3.5""",33.61,,SATA 6 Gb/s,Toshiba,,,MD04ACA400,,$0.030,7200,
315,32 MB,450 GB,,"2.5""",1.13,,SATA 6 Gb/s,Western Digital,,,WD4500BLHX,,$0.887,10000,
316,32 MB,1 TB,,"3.5""",25.32,,SATA 3 Gb/s,Seagate,,,ST31000524NS,,$0.039,7200,
317,,480 GB,,"2.5""",9.60,,SATA 6 Gb/s,Patriot,,,PBU480GS25SSDR,,$0.104,,
318,,1 TB,,mSATA,6.25,,mSATA,Samsung,,,MZ-M6E1T0BW,,$0.160,,
319,,1 TB,,"2.5""",4.09,128.849 GB,SATA 6 Gb/s,Western Digital,,,WD1001X06XDTL,,$0.245,5400,
320,16 MB,1 TB,,"2.5""",12.17,,SATA 6 Gb/s,Western Digital,,,WD10SPCX,,$0.082,5400,
321,8 MB,1 TB,,"2.5""",18.22,,SATA 3 Gb/s,Toshiba,,,MQ01ABD100,,$0.055,5400,
322,,400 GB,,PCI-E,0.82,,PCI-Express x4,Intel,,MLC,SSDPEDME400G401,,$1.224,,
323,,480 GB,Black,M.2-2280,6.40,,M.2 (B+M),Corsair,,,CSSD-F480GBMP300,,$0.156,,
324,,120 GB,Black,M.2-2280,3.43,,M.2 (B+M),Corsair,,,CSSD-F120GBMP300,,$0.292,,
325,,1 TB,,"2.5""",20.00,8.59 GB,SATA 6 Gb/s,Seagate,,,ST1000LX015,,$0.050,5400,
326,16 MB,500 GB,,"3.5""",25.01,,SATA 3 Gb/s,Western Digital,,,WD5000AACS,,$0.040,5400,
327,8 MB,320 GB,,"3.5""",17.60,,PATA 100,Western Digital,,,WD3200AAJB,,$0.057,7200,
328,,128 GB,,M.2-2280,1.86,,M.2 (M),Intel,,,SSDPEKKW128G7X1,,$0.539,,
329,,240 GB,,"2.5""",1.19,,SATA 6 Gb/s,Intel,,MLC (synchronous),SSDSC2BW240A401,,$0.841,,Sandforce SF-2281
330,,240 GB,,"2.5""",8.00,,SATA 6 Gb/s,Inland,,,349365,,$0.125,,
331,,240 GB,,M.2-2280,5.00,,M.2 (B+M),Kingston,,,SUV500M8/240G,,$0.200,,
332,16 MB,160 GB,,"3.5""",2.23,,SATA 3 Gb/s,Western Digital,,,WD1600AVCS,,$0.448,5400,
333,1 GB,1 TB,,M.2-2280,2.38,,M.2 (M),Samsung,,3D V-NAND TLC,MZ-V6E1T0 / MZ-V6E1T0BW,,$0.420,,
334,,120 GB,Black,M.2-2280,4.00,,M.2 (M),HP,,,2YY42AA#ABC,,$0.250,,
