,Color,Dimensions,"External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays",Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Part Number,Type
377,Black,550 mm x 245 mm x 447 mm,,,,,True,False,2,2,,Aerocool,"375 mm / 14.764"" With Drive Cages, 400 mm / 15.748"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",P7-C1 Black,ATX Mid Tower
378,Black / Blue,460 mm x 200 mm x 432 mm,,,,,True,False,3,3,,FSP Group,"360 mm / 14.173""",,"ATX, Micro ATX, Mini ITX",CMT210(BLK),ATX Mid Tower
379,White,370 mm x 188 mm x 365 mm,,,,,True,False,2,1,,Inwin,"265 mm / 10.433"" With Drive Cages, 330 mm / 12.992"" Without Drive Cages",,"Micro ATX, Mini ITX",301C White,MicroATX Mini Tower
380,Pink,438 mm x 203 mm x 470 mm,,1,,,True,False,2,2,,Apevia,"345 mm / 13.583"" With Drive Cages, 375 mm / 14.764"" Without Drive Cages",X-MIRAGE (Pink),"ATX, Micro ATX, Mini ITX",X-MIRAGE-PK,ATX Mid Tower
381,Black / Blue,,,1,,,True,False,1,4,,Apevia,"340 mm / 13.386""",,"Micro ATX, Mini ITX",X-QTIS-BK,MicroATX Mid Tower
382,Black,478 mm x 209 mm x 473 mm,,,,,True,False,5,4,,Cooler Master,"410 mm / 16.142""",MasterBox NR600 (w/o ODD),"ATX, Micro ATX, Mini ITX",MCB-NR600-KGNN-S00,ATX Mid Tower
383,White / Black,,,,,,True,False,2,3,,Corsair,"370 mm / 14.567""",SPEC-OMEGA RGB,"ATX, Micro ATX, Mini ITX",CC-9011141-WW,ATX Mid Tower
384,Black,281 mm x 208 mm x 261 mm,,,,,True,False,1,3,,Cooler Master,"210 mm / 8.268""",Elite 110,Mini ITX,RC-110-KKN2,Mini ITX Tower
385,Black,520 mm x 231 mm x 451 mm,,2,,,True,False,2,8,,Fractal Design,"310 mm / 12.205"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Define R5 (Black),"ATX, Micro ATX, Mini ITX",FD-CA-DEF-R5-BK,ATX Mid Tower
386,Black,,,,,,True,False,2,2,,Zalman,"330 mm / 12.992""",,"ATX, Micro ATX, Mini ITX",S2,ATX Mid Tower
387,Black / Blue,514 mm x 444 mm x 196 mm,1,4,,,True,False,1,4,,Apevia,"406 mm / 15.984""",,"ATX, Micro ATX, Mini ITX",X-HERMES-BL,ATX Mid Tower
388,Black / Green,,,5,,,True,False,12,6,,Phanteks,"257 mm / 10.118"" With Drive Cages, 515 mm / 20.276"" Without Drive Cages",Enthoo Primo,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES813P_SGR,ATX Full Tower
389,Black,529 mm x 207 mm x 441 mm,,2,,,True,False,,8,,Fractal Design,"290 mm / 11.417""",Define R3 Black Pearl,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",FD-CA-DEF-R3-USB3-BL,ATX Mid Tower
390,Black,,,,,,True,False,1,1,,Silverstone,"267 mm / 10.512""",Sugo SG13B-Q,"Mini DTX, Mini ITX",SST-SG13B-Q / SG13B-Q,Mini ITX Tower
391,Black,,,,,,True,False,3,2,,Rosewill,"370 mm / 14.567""",PRISM T500,"ATX, Micro ATX, Mini ITX",R0901003-0118,ATX Mid Tower
392,Black,307 mm x 304 mm x 152 mm,,,,1,True,500 W,2,2,,EVGA,"267 mm / 10.512""",Hadron,Mini ITX,110-MA-1001-K1 / 110-MA-1001-K2 / 110-MA-1001-K3 / 110-MA-1001-K4,Mini ITX Tower
393,Black,,,2,,,True,False,2,7,,be quiet!,"323 mm / 12.717"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Dark Base Pro 900 | Black rev. 2,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",BGW15,ATX Full Tower
394,Black,,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400i,"Micro ATX, Mini ITX",CA-H400W-BB,MicroATX Mini Tower
395,Black,440 mm x 220 mm x 464 mm,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Crystal 460X RGB,"ATX, Micro ATX, Mini ITX",CC-9011101-WW,ATX Mid Tower
396,Black,374.904 mm x 172.974 mm x 366.014 mm,,1,,,True,False,2,2,,Rosewill,,,"Micro ATX, Mini ITX",FBM-06,MicroATX Mini Tower
397,Black,,,1,,,True,False,4,2,,Thermaltake,"310 mm / 12.205""",Versa J22 Tempered Glass RGB Edition,"ATX, Micro ATX, Mini ITX",CA-1L5-00M1WN-01,ATX Mid Tower
398,White / Black,,,,,,True,False,2,3,,Fractal Design,"440 mm / 17.323""",Meshify S2 White – TG,"ATX, Micro ATX, Mini ITX",FD-CA-MESH-S2-WT-TGC,ATX Mid Tower
399,White,500 mm x 215 mm x 480 mm,,,,,True,False,2,2,,Inwin,"350 mm / 13.78""",303C (White),"ATX, Micro ATX, Mini ITX",303C WHITE,ATX Mid Tower
400,Black / Red,,,,,,True,False,4,2,,Cougar,"390 mm / 15.354""",,"ATX, EATX, Micro ATX, Mini ITX",Panzer Evo,ATX Full Tower
401,Black / Orange,685 mm x 255 mm x 580 mm,,,,,True,False,1,3,,Cougar,"350 mm / 13.78""",,"ATX, Micro ATX, Mini ITX",Conquer / 385LMR0.0001,ATX Mid Tower
402,Black,372 mm x 210 mm x 349 mm,,,,,True,False,3,1,,NZXT,"325 mm / 12.795""",H200i (Black),Mini ITX,CA-H200W-BB,Mini ITX Tower
403,Black,464 mm x 205 mm x 444 mm,,2,,,True,False,1,2,,Fractal Design,"380 mm / 14.961""",Focus G (Black),"ATX, Micro ATX, Mini ITX",FD-CA-FOCUS-BK-W,ATX Mid Tower
404,White,,,,,,True,False,2,2,,Thermaltake,"255 mm / 10.039"" With Drive Cages, 285 mm / 11.22"" Without Drive Cages",Core V1 Snow Edition,Mini ITX,CA-1B8-00S6WN-01,Mini ITX Desktop
405,Black,,,,,,True,False,3,4,,Phanteks,"294 mm / 11.575"" With Drive Cages, 435 mm / 17.126"" Without Drive Cages",ECLIPSE P600S,"ATX, Micro ATX, Mini ITX",PH-EC600PSC_BK01,ATX Mid Tower
406,Black,,,1,,,True,False,1,2,,RIOTORO,"300 mm / 11.811""",,"ATX, Micro ATX, Mini ITX",CR1080,ATX Mid Tower
407,Black,307 mm x 199 mm x 104 mm,,1,,,False,250 W,1,1,,Apevia,,,"Mini ITX, Thin Mini ITX",X-FIT-200,Mini ITX Tower
408,Black,,,,,,True,False,4,2,,Enermax,"420 mm / 16.535""",EQUILENCE,"ATX, Micro ATX, Mini ITX",ECA3511A-BB,ATX Mid Tower
409,Black,,,,,,True,False,3,3,,DIYPC,"440 mm / 17.323""",Vanguard RGB,"ATX, Micro ATX, Mini ITX",Vanguard-RGB,ATX Mid Tower
410,Black,556 mm x 232 mm x 580 mm,,6,,,True,False,,6,,Rosewill,"330 mm / 12.992""",,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",THOR V2,ATX Full Tower
411,Silver / Black,,,,,,True,False,4,4,,Cooler Master,"318 mm / 12.52""",MasterCase SL600M,"ATX, Micro ATX, Mini ITX",MCM-SL600M-SGNN-S00,ATX Mid Tower
412,Black,,,,,,True,False,5,2,,NZXT,"413 mm / 16.26""",H700i,"ATX, Micro ATX, Mini ITX",CA-H700W-BB,ATX Mid Tower
413,Black,,,,,,True,150 W,2,,,Inwin,"1 mm / 0.039""",Chopin (Black),Mini ITX,BQ696 BLK / BQ696 CHPIN BLK 150W / BQ696 black,HTPC
414,Black,,,,,,True,False,2,2,,NZXT,"363 mm / 14.291""",Manta,Mini ITX,CA-MANTW-M1,Mini ITX Desktop
415,Black,,1,1,,,True,False,1,3,,Thermaltake,"250 mm / 9.843"" With Drive Cages, 360 mm / 14.173"" Without Drive Cages",Versa N25,"ATX, Micro ATX, Mini ITX",CA-1G2-00M1WN-00,ATX Mid Tower
416,Red / Black,531 mm x 214 mm x 515 mm,,3,,,True,False,,6,,NZXT,"230 mm / 9.055"" With Drive Cages, 305 mm / 12.008"" Without Drive Cages",Phantom 410 (Red),"ATX, Micro ATX, Mini ITX, Thin Mini ITX",CA-PH410-R1 / CSNZP410R,ATX Mid Tower
417,Black,,,,,,True,False,3,2,,DIYPC,"383 mm / 15.079""",,"ATX, Micro ATX, Mini ITX",Trio-GT-RGB,ATX Mid Tower
