,Color,Dimensions,"External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays",Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Part Number,Type
553,Black / Red,480 mm x 234 mm x 512 mm,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",Crystal 570X RGB (Black/Red),"ATX, Micro ATX, Mini ITX",CC-9011111-WW,ATX Mid Tower
554,White / Black,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Design Define R6 USB-C,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6C-WT,ATX Mid Tower
555,Black,,,2,,,True,False,2,3,,Thermaltake,"278 mm / 10.945"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",Core X71 Tempered Glass Edition,"ATX, Micro ATX, Mini ITX",CA-1F8-00M1WN-02,ATX Full Tower
556,Black,,,,,,True,False,2,2,,DIYPC,"370 mm / 14.567""",,"ATX, Micro ATX, Mini ITX",Rainbow-Flash-R1,ATX Mid Tower
557,Black / Silver,,,,,,True,False,6,5,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 801 | Silver,"ATX, EATX, Micro ATX, Mini ITX",BG030,ATX Mid Tower
558,Black / Red,,,,,,True,False,2,3,,Corsair,"370 mm / 14.567""",SPEC-OMEGA,"ATX, Micro ATX, Mini ITX",CC-9011121-WW,ATX Mid Tower
559,Black,168 mm x 355 mm x 308 mm,,,,1,True,500 W,,2,,EVGA,"266 mm / 10.472""",Hadron Hydro,Mini ITX,110-MW-1002-K1 / 110-MW-1002-K3,Mini ITX Tower
560,Black / Red,,,,,,True,False,2,2,,Cooler Master,"410 mm / 16.142""",MasterCase H500P Mesh Phantom Gaming Edition,"ATX, Micro ATX, Mini ITX",MCM-H500P-MGNN-ASR,ATX Mid Tower
561,Black,395 mm x 230 mm x 375 mm,,,,,True,False,1,2,,Phanteks,"330 mm / 12.992""",Enthoo EVOLV ITX TG (Black),Mini ITX,PH-ES215PTG_BK,Mini ITX Desktop
562,Black / White,,,,,,True,False,5,2,,NZXT,"413 mm / 16.26""",H700i,"ATX, Micro ATX, Mini ITX",CA-H700W-WB,ATX Mid Tower
563,Black,450 mm x 230 mm x 450 mm,,,,,True,False,2,1,,Cooler Master,"360 mm / 14.173""",MasterBox Q300P,"Micro ATX, Mini ITX",MCB-Q300P-KANN-S02,MicroATX Mini Tower
564,Red / Black,,,,,,True,False,2,3,,Corsair,"370 mm / 14.567""",SPEC-OMEGA,"ATX, Micro ATX, Mini ITX",CC-9011120-WW,ATX Mid Tower
565,Black,,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",270R,"ATX, Micro ATX, Mini ITX",CC-9011106-WW,ATX Mid Tower
566,Black,,,,,,True,False,2,6,,Antec,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",P110 Luce,ATX Mid Tower
567,Black / Silver,,,,,,True,False,,3,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 601 | Silver,"ATX, EATX, Micro ATX, Mini ITX",BG027,ATX Mid Tower
568,Black,249 mm x 649 mm x 599 mm,,5,,,True,False,12,6,,Phanteks,"257 mm / 10.118"" With Drive Cages, 515 mm / 20.276"" Without Drive Cages",Enthoo Series Primo Aluminum,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES813P_BL,ATX Full Tower
569,Black,469 mm x 200 mm x 455 mm,,,,,True,False,1,2,,Cooler Master,"400 mm / 15.748""",MasterBox Lite 5 RGB,"ATX, Micro ATX, Mini ITX",MCW-L5S3-KGNN-02,ATX Mid Tower
570,Black / White,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Define R6 USB-C Black,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6C-BK,ATX Mid Tower
571,Black,,,,,,True,False,3,2,,Fractal Design,"315 mm / 12.402""",Define C TG,"ATX, Micro ATX, Mini ITX",FD-CA-DEF-C-BK-TG,ATX Mid Tower
572,Black,529 mm x 235 mm x 548 mm,,2,,,True,False,1,4,,Cooler Master,"296 mm / 11.654"" With Drive Cages, 412 mm / 16.22"" Without Drive Cages",MasterCase MC500M,"ATX, Micro ATX, Mini ITX",MCM-M500M-KG5N-S00,ATX Mid Tower
573,Black,,,,,,True,False,4,2,,Cougar,"425 mm / 16.732""",,"ATX, Micro ATX, Mini ITX",Puritas RGB,ATX Mid Tower
574,Silver,400 mm x 230 mm x 453 mm,,,,,True,False,2,2,,Phanteks,"319 mm / 12.559""",Enthoo Evolv TG (Silver),"Micro ATX, Mini ITX",PH-ES314ETG_GS,MicroATX Mini Tower
575,Black,,,,1,,True,False,3,7,,Lian-Li,"310 mm / 12.205""",,"ATX, EATX, Micro ATX, Mini ITX",PC-O7S / PC-O7SX,HTPC
576,Black / Red,,,,,,True,False,1,2,,Cooler Master,"380 mm / 14.961""",MasterBox Lite 3.1 TG,"Micro ATX, Mini ITX",MCW-L3S3-KGNN-00,MicroATX Mid Tower
577,Black,512 mm x 235 mm x 548 mm,,2,,,True,False,2,2,,Cooler Master,"296 mm / 11.654"" With Drive Cages, 412 mm / 16.22"" Without Drive Cages",MasterCase MC500,"ATX, Micro ATX, Mini ITX",MCM-M500-KG5N-S00,ATX Mid Tower
578,Black,472 mm x 204 mm x 477 mm,,,,,True,False,2,2,,EVGA,"390 mm / 15.354""",DG-73,"ATX, Micro ATX, Mini ITX",130-P0-0020-KR,ATX Mid Tower
579,Black,,,4,,,True,False,,6,,Cooler Master,"270 mm / 10.63"" With Drive Cages, 390 mm / 15.354"" Without Drive Cages",HAF 912 USB3.0,"ATX, Micro ATX, Mini ITX",RC-912-KKN1-GP,ATX Mid Tower
580,Black / Blue,,,1,,,True,False,2,3,,Rosewill,"380 mm / 14.961""",,"ATX, Micro ATX, Mini ITX",NAUTILUS,ATX Mid Tower
581,White,,,3,,,True,False,,7,,Thermaltake,"400 mm / 15.748"" With Drive Cages, 590 mm / 23.228"" Without Drive Cages",Core X9 Snow Edition,"ATX, EATX, Micro ATX, Mini ITX",CA-1D8-00F6WN-00,ATX Desktop
582,Black / Silver,,,1,,,True,False,3,2,,Deepcool,"320 mm / 12.598""",,Mini ITX,TriStellar SW,Mini ITX Desktop
583,Black / Silver,,,1,,,True,False,2,2,,Antec,"390 mm / 15.354""",,"ATX, Micro ATX, Mini ITX",P7 Silent,ATX Mid Tower
584,Black,352 mm x 175 mm x 350 mm,1,2,,,False,False,,2,,Rosewill,,,"Micro ATX, Mini ITX",FBM-01,MicroATX Mini Tower
585,Black,399 mm x 185 mm x 364 mm,1,2,,,True,False,,2,,Rosewill,"317 mm / 12.48""",Line-M,"Micro ATX, Mini ITX",LINE-M,MicroATX Mini Tower
586,Black,,,,,,True,False,5,8,,Deepcool,"380 mm / 14.961""",Quadstellar,"ATX, EATX, Micro ATX, Mini ITX",QUADSTELLAR,ATX Desktop
587,Black / Blue,,,,,,True,False,5,2,,NZXT,"413 mm / 16.26""",H700i,"ATX, Micro ATX, Mini ITX",CA-H700W-BL,ATX Mid Tower
588,Black,657 mm x 224 mm x 642 mm,,9,,,True,False,3,6,,Silverstone,"314 mm / 12.362""",,"ATX, Micro ATX, Mini ITX, SSI CEB, XL ATX",TJ11B-W / SST-TJ11B-W USB 3.0,ATX Full Tower
589,Black,,,,,,True,False,2,3,,Thermaltake,"330 mm / 12.992""",Versa J24 TG RGB,"ATX, Micro ATX, Mini ITX",CA-1L7-00M1WN-01,ATX Mid Tower
590,Black,512 mm x 235 mm x 548 mm,,2,,,True,False,2,4,,Cooler Master,"296 mm / 11.654"" With Drive Cages, 412 mm / 16.22"" Without Drive Cages",MasterCase MC500P,"ATX, Micro ATX, Mini ITX",MCM-M500P-KG5N-S00,ATX Mid Tower
591,Black,,,,,,False,False,4,3,,Corsair,"330 mm / 12.992""",Crystal Series 680X RGB,"ATX, EATX, Micro ATX, Mini ITX",CC-9011168-WW,ATX Mid Tower
592,Black,,,,,,True,False,2,2,,Corsair,"370 mm / 14.567""",Crystal 570X RGB Mirror Black,"ATX, Micro ATX, Mini ITX",CC-9011126-WW,ATX Mid Tower
593,Black,483 mm x 423 mm x 752 mm,,1,,,True,False,2,6,,Thermaltake,"400 mm / 15.748""",The Tower 900,"ATX, EATX, Micro ATX, Mini ITX",CA-1H1-00F1WN-00,ATX Full Tower
594,Black / Silver,515 mm x 394 mm x 623 mm,,,,,True,False,2,6,,Thermaltake,"400 mm / 15.748"" With Drive Cages, 590 mm / 23.228"" Without Drive Cages",Level 20 XT,"ATX, EATX, Micro ATX, Mini ITX",CA-1L1-00F1WN-00,ATX Desktop
595,Black,463 mm x 197 mm x 490 mm,1,1,,,True,False,1,3,,Thermaltake,"250 mm / 9.843"" With Drive Cages, 360 mm / 14.173"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",Versa N26 / CA-1G3-00M1WN-00,ATX Mid Tower
596,Black / Red,,,3,,,True,False,4,4,,Apevia,,,"ATX, Micro ATX, Mini ITX",X-SNIPER2-RD,ATX Mid Tower
597,Black,421 mm x 210 mm x 417 mm,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400 (Black),"Micro ATX, Mini ITX",CA-H400B-B1,MicroATX Mini Tower
598,Black,450 mm x 214 mm x 465 mm,,1,,,True,False,2,2,,Raidmax,"390 mm / 15.354""",Alpha Prime (Black),"ATX, Micro ATX, Mini ITX",A15TTB / ALPHA-TTB,ATX Mid Tower
599,Black,400 mm x 200 mm x 450 mm,,,,,True,False,1,2,,Phanteks,"330 mm / 12.992""",Eclipse P300 Tempered Glass (Black),"ATX, Micro ATX, Mini ITX",PH-EC300PTG_BK,ATX Mid Tower
600,White,356 mm x 273 mm x 210 mm,,,,,True,600 W,2,,,Inwin,"300 mm / 11.811""",A1 (White),Mini ITX,IW-A1-WHI-P,Mini ITX Tower
601,White / Black,,,,,,True,False,2,3,,Corsair,"370 mm / 14.567""",SPEC-OMEGA,"ATX, Micro ATX, Mini ITX",CC-9011119-WW,ATX Mid Tower
602,Black,,,,,,True,False,1,2,,BitFenix,"340 mm / 13.386""",ENSO,"ATX, Micro ATX, Mini ITX",BFC-ENS-150-KKWGK-RP,ATX Mid Tower
603,Black / Blue,,,1,,,True,False,2,2,,Cooler Master,"399 mm / 15.709""",MasterBox E500L,"ATX, Micro ATX, Mini ITX",MCB-E500L-KA5N-S00,ATX Mid Tower
604,Black,221 mm x 176 mm x 276 mm,,,1,,True,450 W,1,1,,Silverstone,"254 mm / 10""",SG05BB-450-USB3.0 (Black),"Mini DTX, Mini ITX, Thin Mini ITX",SST-SG05BB-450-USB3.0 / SG05BB-450-USB3.0,Mini ITX Desktop
605,Black,,,,,,True,False,1,2,,BitFenix,"300 mm / 11.811""",Portal (Black),Mini ITX,BFC-POT-150-KKXKK-RP,Mini ITX Tower
606,Black,,,,,1,True,False,4,2,,Silverstone,"337 mm / 13.268""",,"Micro ATX, Mini ITX",SG10B / SST-SG10B,MicroATX Mini Tower
607,Black,,,,,,True,False,6,2,,Cooler Master,"400 mm / 15.748""",MasterBox MB520 RGB,"ATX, Micro ATX, Mini ITX",MCB-B520-KGNN-RGB,ATX Mid Tower
608,Black / Silver,,,1,,,True,False,3,2,,Cooler Master,"363 mm / 14.291""",MasterBox E300L,"Micro ATX, Mini ITX",MCB-E300L-KN5N-B02 / MCB-E300L-KN5N-B01,MicroATX Mini Tower
609,Black,,,2,,,True,False,2,2,,GAMDIAS,"380 mm / 14.961""",TALOS P1,"ATX, EATX, Micro ATX, Mini ITX",GD-TALOS P1,ATX Mid Tower
610,Black,232 mm x 549 mm x 439 mm,,2,,,True,False,1,2,,Rosewill,"355 mm / 13.976""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB",RISE,ATX Full Tower
611,Black,,,,,,True,False,,3,,be quiet!,"287 mm / 11.299"" With Drive Cages, 449 mm / 17.677"" Without Drive Cages",Silent Base 601 | Black,"ATX, EATX, Micro ATX, Mini ITX",BG026,ATX Mid Tower
612,White / Red,,,2,,,True,False,2,3,,SAMA,"418 mm / 16.457""",,"Micro ATX, Mini ITX",Maxcool-W-15LEDLight,MicroATX Mid Tower
613,Silver,,,1,,,True,False,2,6,,Fractal Design,"300 mm / 11.811"" With Drive Cages, 440 mm / 17.323"" Without Drive Cages",Design Define R6 USB-C Gunmetal,"ATX, EATX, Micro ATX, Mini ITX",FD-CA-DEF-R6C-GY,ATX Mid Tower
614,Pink / Black,,2,4,,,False,False,,5,,Apevia,,,"ATX, Micro ATX, Mini ITX",X-INFINITY-PK,ATX Mid Tower
615,Black,474 mm x 190 mm x 429 mm,1,4,,,False,False,1,4,,Thermaltake,,,"ATX, Micro ATX, Mini ITX",VM30001W2Z,ATX Mid Tower
616,Black,,,2,,,True,False,,8,,Thermaltake,"310 mm / 12.205"" With Drive Cages, 480 mm / 18.898"" Without Drive Cages",Core V71 Tempered Glass,"ATX, EATX, Micro ATX, Mini ITX",CA-1B6-00F1WN-04,ATX Full Tower
617,Black,,,,,,True,False,3,2,,Thermaltake,"380 mm / 14.961""",V200 Tempered Glass RGB Edition,"ATX, Micro ATX, Mini ITX",CA-1K8-00M1WN-01,ATX Mid Tower
618,Black / Blue,,,2,,,True,False,,4,,Corsair,"414 mm / 16.299""",SPEC-01,"ATX, Micro ATX, Mini ITX",CC-9011056-WW,ATX Mid Tower
619,Black,400 mm x 230 mm x 453 mm,,,,,True,False,2,2,,Phanteks,"319 mm / 12.559""",Enthoo Evolv TG (Black),"Micro ATX, Mini ITX",PH-ES314ETG_BK,MicroATX Mini Tower
620,Black,,,,1,,True,False,2,4,,Inwin,,IW-MS04,Mini ITX,IW-MS04-01-S265,Mini ITX Desktop
621,Black,428 mm x 210 mm x 460 mm,,,,,True,False,3,3,,NZXT,"381 mm / 15""",H500i (Black),"ATX, Micro ATX, Mini ITX",CA-H500W-B1,ATX Mid Tower
622,Black,686 mm x 270 mm x 643 mm,,,,,True,False,2,2,,EVGA,,DG-85,"ATX, EATX, Micro ATX, Mini ITX",100-E1-1000-K0,ATX Full Tower
623,Black,,,1,,,True,False,2,6,,Zalman,"270 mm / 10.63"" With Drive Cages, 400 mm / 15.748"" Without Drive Cages",,"ATX, Micro ATX",Z11 NEO,ATX Mid Tower
624,Black,398 mm x 177 mm x 355 mm,2,2,,,False,300 W,,1,,Apex,,,"Flex ATX, Micro ATX, Mini ITX",TM366BK,MicroATX Mid Tower
625,Black,601 mm x 287 mm x 637 mm,,2,,,True,False,3,6,,Corsair,"355 mm / 13.976""",780T,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",CC-9011063-WW,ATX Full Tower
626,Black / Red,249 mm x 403 mm x 358 mm,,1,,,True,False,5,4,,BitFenix,"250 mm / 9.843"" With Drive Cages, 320 mm / 12.598"" Without Drive Cages",Prodigy M Arctic White,"Micro ATX, Mini ITX",BFC-PRM-300-WWWKW-RP,MicroATX Mini Tower
627,Black,,,2,,,True,False,4,7,,Silverstone,"337 mm / 13.268""",,"ATX, EATX, Micro ATX, Mini ITX, SSI CEB, SSI EEB",FT04B-W / SST-FT04B-W,ATX Full Tower
628,Black,,,,,,False,False,1,,,Morex,,,Mini ITX,557,HTPC
629,Black / Green,,1,1,,,True,False,1,2,,Apevia,"320 mm / 12.598""",,"Micro ATX, Mini ITX",X-QBER-GN,MicroATX Desktop
630,,400 mm x 200 mm x 450 mm,,,,,True,False,1,2,,Phanteks,"330 mm / 12.992""",Eclipse P300 Tempered Glass (Black/White),"ATX, Micro ATX, Mini ITX",PH-EC300PTG_BW,ATX Mid Tower
631,Black,497 mm x 210 mm x 429 mm,,3,,,True,False,4,4,,Corsair,"300 mm / 11.811"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages",,"ATX, Micro ATX, Mini ITX",200R / CC-9011023-WW / CC200R,ATX Mid Tower
632,Black / Silver,348 mm x 330 mm x 430 mm,,,,,True,False,3,3,,Thermaltake,"350 mm / 13.78""",Level 20 VT,"Micro ATX, Mini ITX",CA-1L2-00S1WN-00,MicroATX Desktop
633,Black,534 mm x 234 mm x 549 mm,,3,,,True,False,1,6,,Phanteks,"347 mm / 13.661"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Enthoo Pro,"ATX, EATX, Micro ATX, Mini ITX, SSI EEB",PH-ES614P_BK,ATX Full Tower
634,Black,,,,,,True,False,4,2,,Antec,"380 mm / 14.961""",Dark Fleet DF500 RGB,"ATX, Micro ATX, Mini ITX",DF500 RGB,ATX Mid Tower
635,Black / White,,,,,,True,False,3,3,,NZXT,"381 mm / 15""",H500 Overwatch,"ATX, Micro ATX, Mini ITX",CA-H500B-OW,ATX Mid Tower
636,Black,414 mm x 331 mm x 457 mm,,2,,,True,False,4,2,,Corsair,"320 mm / 12.598""",,"ATX, EATX, Micro ATX, Mini ITX",Air 540 / CC-9011030-WW,ATX Mid Tower
637,Black / Red,,,1,,,True,False,1,2,,Cooler Master,"400 mm / 15.748""",MasterBox MB600L,"ATX, Micro ATX, Mini ITX",MCB-B600L-KA5N-S00,ATX Mid Tower
638,White,,,,,,True,False,2,2,,Phanteks,"280 mm / 11.024"" With Drive Cages, 395 mm / 15.551"" Without Drive Cages",ECLIPSE P400 TEMPERED GLASS,"ATX, EATX, Micro ATX, Mini ITX",PH-EC416PTG_WT,ATX Mid Tower
639,Black,,,3,,,True,False,,8,,Rosewill,"420 mm / 16.535""",,"ATX, EATX, Micro ATX, Mini ITX",NIGHTHAWK 117,ATX Full Tower
640,White,455 mm x 211 mm x 460 mm,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Carbide Series 275R (White),"ATX, Micro ATX, Mini ITX",CC-9011131-WW,ATX Mid Tower
641,White,490 mm x 198 mm x 538 mm,,,,,True,False,2,2,,Thermaltake,"390 mm / 15.354""",Versa C22 RGB Snow Edition,"ATX, Micro ATX, Mini ITX",CA-1G9-00M6WN-00,ATX Mid Tower
642,Black / Silver,401 mm x 325 mm x 99 mm,1,1,,,False,300 W,,1,,Rosewill,,,"Flex ATX, Micro ATX, Mini ITX",R379-M,MicroATX Slim
643,Silver,,,,,,True,False,2,5,,Phanteks,"300 mm / 11.811"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",Enthoo Evolv ATX Glass,"ATX, Micro ATX, Mini ITX",PH-ES515ETG_GS,ATX Mid Tower
644,Black / Orange,,,1,,,True,False,2,4,,DIYPC,"420 mm / 16.535""",,"ATX, Micro ATX",Zondda-O,ATX Mid Tower
645,Black,,,,,,True,False,2,2,,Deepcool,"370 mm / 14.567""",,"ATX, EATX, Micro ATX, Mini ITX",MATREXX 55 ADD-RGB,ATX Mid Tower
646,Black / Blue,462 mm x 220 mm x 461 mm,,,,,True,False,2,3,,DIYPC,"410 mm / 16.142""",VisionII  (Black/Blue),"ATX, Micro ATX, Mini ITX",VisionII-BL,ATX Mid Tower
647,Black,,,2,,,False,False,,4,,PrimoChill,,Praxis WetBench,"ATX, EATX, Micro ATX, Mini ITX",MWB-BK-BK,ATX Test Bench
648,Black,,1,,,1,True,False,4,,,Silverstone,,,Mini ITX,ML05B / SST-ML05B,HTPC
649,Black / Red,421 mm x 210 mm x 417 mm,,,,,True,False,3,1,,NZXT,"411 mm / 16.181""",H400 (Black/Red),"Micro ATX, Mini ITX",CA-H400B-BR,MicroATX Mini Tower
650,Black / Pink,,,3,,,True,False,4,4,,Apevia,,,"ATX, Micro ATX",X-PIONEER-PK,ATX Mid Tower
651,Black,455 mm x 211 mm x 460 mm,,,,,True,False,3,2,,Corsair,"370 mm / 14.567""",Carbide Series 275R (Black w/Tempered Glass),"ATX, Micro ATX, Mini ITX",CC-9011132-WW,ATX Mid Tower
652,Black,,1,2,,,True,False,,2,,Rosewill,,,"Micro ATX, Mini ITX",FBM-05,MicroATX Mini Tower
653,Black,185 mm x 474 mm x 406 mm,1,3,,,True,False,1,6,,Antec,"280 mm / 11.024""",,"ATX, Micro ATX, Mini ITX",NSK4100,ATX Mid Tower
654,Gray,400 mm x 230 mm x 453 mm,,,,,True,False,2,2,,Phanteks,"319 mm / 12.559""",Enthoo EVOLV TG (Gray),"Micro ATX, Mini ITX",PH-ES314ETG_AG,MicroATX Mini Tower
655,Black,169 mm x 439 mm x 357 mm,,1,,,True,False,1,2,,Silverstone,"309 mm / 12.165""",,"ATX, Micro ATX, Mini ITX, SSI CEB",GD09B / SST-GD09B,HTPC
656,Black / Orange,,,2,,,True,False,2,7,,be quiet!,"323 mm / 12.717"" With Drive Cages, 472 mm / 18.583"" Without Drive Cages",Dark Base Pro 900 | Orange rev. 2,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",BGW14,ATX Full Tower
657,Black,619 mm x 248 mm x 589 mm,,9,,,True,False,,7,,Azza,"400 mm / 15.748""",GT1,"ATX, EATX, Micro ATX, Mini ITX, XL ATX",CSAZ-GT 1,ATX Full Tower
658,Black,,,1,,,True,False,,3,,Thermaltake,"315 mm / 12.402""",Versa H15,"Micro ATX, Mini ITX",CA-1D4-00S1NN-00,MicroATX Mid Tower
659,Black / Silver,,,3,,,True,False,3,5,,Nanoxia,"345 mm / 13.583"" With Drive Cages, 430 mm / 16.929"" Without Drive Cages",Deep Silence 3,"ATX, Micro ATX, Mini ITX, XL ATX",NXDS3B,ATX Mid Tower
660,Black,,,,,,True,False,4,2,,Thermaltake,"310 mm / 12.205""",Versa J23 Tempered Glass RGB Edition,"ATX, Micro ATX, Mini ITX",CA-1L6-00M1WN-01,ATX Mid Tower
661,Black,,,1,,,True,False,2,2,,Deepcool,"370 mm / 14.567""",D-Shield V2,"ATX, Micro ATX, Mini ITX",DSHIELD-V2,ATX Mid Tower
662,Black,,2,3,,,False,False,,4,,NZXT,"265 mm / 10.433""",Guardian 921 RB,"ATX, Micro ATX, Mini ITX",921RB-001-RD / Guardian 921RB-BL,ATX Mid Tower
663,Black,,,,,,True,False,2,2,,Fractal Design,"315 mm / 12.402""",Define Nano S,Mini ITX,FD-CA-DEF-NANO-S-BK,Mini ITX Desktop
664,Black,210 mm x 374 mm x 400 mm,,2,,,True,False,1,5,,Silverstone,"342 mm / 13.465""",PS07B,"Micro ATX, Mini DTX, Mini ITX",SST-PS07B,MicroATX Mini Tower
665,Black,371 mm x 140 mm x 454 mm,,,,,True,False,,2,,Thermaltake,"310 mm / 12.205""",Core G3,"ATX, Micro ATX, Mini ITX",CA-1G6-00T1WN-00,ATX Mid Tower
666,Black / Green,,,3,,,True,False,4,4,,Apevia,,,"ATX, Micro ATX, Mini ITX",X-SNIPER2-GN,ATX Mid Tower
667,Gray,615 mm x 270 mm x 750 mm,,1,,,True,False,4,6,,Phanteks,,Enthoo Elite (Gray),"ATX, EATX, Micro ATX, Mini ITX",PH-ES916E_AG,ATX Full Tower
668,Black,511 mm x 250 mm x 497 mm,,,,,True,False,,3,,Thermaltake,"278 mm / 10.945"" With Drive Cages, 420 mm / 16.535"" Without Drive Cages",View 31 TG RGB,"ATX, Micro ATX, Mini ITX",CA-1H8-00M1WN-01,ATX Mid Tower
