,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
327,,,1500 RPM,"75.4 mm / 2.969""",False,be quiet!,Shadow Rock LP,14.8 dB - 25.5 dB,BK002,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
328,,,500 - 1800 RPM,,True,NZXT,Kraken X42,21 dB - 38 dB,RL-KRX42-01,140mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
329,,Black / Silver,200 - 1800 RPM,"157 mm / 6.181""",False,ARCTIC,Freezer 34 CO,,ACFRE00051A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
330,,Black,800 - 2500 RPM,,True,Asus,ROG RYUO 240 RGB,37 dB,ROG RYUO 240 / 90RC0040-M0UAY0,240mm,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
331,,,2700 RPM,,True,Corsair,,37.68 dB,H80i / CWCH80i / CW-9060008-WW,120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
332,,,800 - 1700 RPM,"140 mm / 5.512""",False,Thermaltake,,22 dB,CLP0552,,"LGA1150, LGA1151, LGA1155, LGA1156"
333,Ball,,1200 - 5000 RPM,"66 mm / 2.598""",False,Silverstone,Argon AR09-115XS,18.02 dB - 42.5 dB,SST-AR09-115XS / AR09-115XS,,"LGA1150, LGA1151, LGA1155, LGA1156"
334,Rifle,,600 - 1600 RPM,"160 mm / 6.299""",False,Cooler Master,Hyper 212 LED,9 dB - 31 dB,RR-212L-16PR-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
335,,,600 - 1800 RPM,"172 mm / 6.772""",False,Cooler Master,MasterAir Maker 8,8 dB - 24 dB,MAZ-T8PN-418PR-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
336,,,1000 - 2000 RPM,"160 mm / 6.299""",False,Thermaltake,NiC C5,20 dB - 39.9 dB,CLP0608,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
337,,Black,500 - 2300 RPM,,True,Enermax,Liqtech II 360,14 dB - 28 dB,ELC-LTTO360-TBP,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
338,Ball,,1000 - 2500 RPM,"110 mm / 4.331""",False,Dynatron,,17 dB - 31.92 dB,R17,,"LGA2011, LGA2011-3, LGA2066"
339,,,2000 RPM,"158 mm / 6.22""",False,Cooler Master,Hyper 212X Dual Fan,9 dB - 36 dB,RR-212X-20PM-A1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
340,,,,"159 mm / 6.26""",False,Prolimatech,,26 dB,PRO-MGH-C,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
341,,,500 - 2000 RPM,"65 mm / 2.559""",False,ARCTIC,Alpine 64 GT,,ACALP64-GT,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+"
342,,,900 - 1800 RPM,"162 mm / 6.378""",False,Enermax,,11 dB - 21 dB,ETS-T40F-TB,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
343,Ball,,4500 RPM,"14 mm / 0.551""",False,StarTech,,39 dB,FAN7751U,,LGA775
344,,,300 - 1500 RPM,"142 mm / 5.591""",False,Noctua,,19.2 dB - 24.6 dB,NH-C14S,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
345,,,900 - 1200 RPM,"160 mm / 6.299""",False,Noctua,,12.6 dB - 19.8 dB,NH-D14,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
346,,,500 - 1800 RPM,,True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN 240EX RGB / DP-GS-H12L-CT240RGB,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
347,Fluid Dynamic,,900 - 2000 RPM,"53 mm / 2.087""",False,ARCTIC,Freezer 11 LP,,ACFZ11-LP / UCACO-P2000000-BL,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
348,,,700 - 1200 RPM,"171 mm / 6.732""",False,Phanteks,,13.4 dB - 19 dB,PH-TC14PE,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
349,,Black / Silver,2000 RPM,,True,Corsair,H115i RGB PLATINUM,37 dB,CW-9060038-WW,280mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
350,,White,900 - 1500 RPM,"159 mm / 6.26""",False,Deepcool,,17.8 dB - 30 dB,NEPTWIN WHITE,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
351,Ball,,1000 - 2500 RPM,"41 mm / 1.614""",False,Dynatron,,14.7 dB - 29.8 dB,K5,,"LGA1150, LGA1151, LGA1155, LGA1156"
352,,Black,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML240R RGB Phantom Gaming Edition,6 dB - 30 dB,MLX-D24M-A20PC-RP,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
353,,Black,800 - 2500 RPM,,True,Asus,ROG RYUO 120 RGB,37 dB,ROG RYUO 120 / 90RC0010-M0UAY0,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, TR4"
354,,,,"150 mm / 5.906""",False,ARCTIC,Freezer 33 CO,22.5 dB,ACFRE00031A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
355,Sleeve,,300 - 1800 RPM,"163 mm / 6.417""",False,Reeven,Okeanos,4 dB - 23.6 dB,RC-1402,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
356,,,2500 - 2999 RPM,"37 mm / 1.457""",False,Noctua,,14.8 dB - 23.6 dB,NH-L9i,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156"
357,,,,"75 mm / 2.953""",False,Intel,,,BXTS13A,,"LGA2011, LGA2011-3, LGA2066"
358,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML120L RGB,6 dB - 30 dB,MLW-D12M-A20PC-R1,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
359,Ball,,800 - 2000 RPM,"152 mm / 5.984""",False,Zalman,,18 dB - 38 dB,CNPS9900ALED,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
360,,,300 - 1500 RPM,"165 mm / 6.496""",False,Noctua,,19.2 dB - 24.6 dB,NH-U14S TR4-SP3,,TR4
361,,,900 - 1500 RPM,"155 mm / 6.102""",False,Deepcool,,21.4 dB - 32.1 dB,GAMMAXX 400 / CFAN-GAMMAXX400 / DP-MCH4-GMX400,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
362,,,800 - 2200 RPM,"160 mm / 6.299""",False,Evercool,,38.1 dB,HPQ-12025,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
363,,,900 - 1300 RPM,"170 mm / 6.693""",False,Thermalright,TRUE Spirit 140 POWER,17 dB - 21 dB,TRUE SPIRIT 140 POWER,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
364,,,,"130 mm / 5.118""",False,ARCTIC,Freezer 12,22.5 dB,ACFRE00027A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
365,Sleeve,,1000 - 2200 RPM,"82 mm / 3.228""",False,Silverstone,,,NT06-PRO,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
366,,Brown,450 - 2000 RPM,"158 mm / 6.22""",False,Noctua,NH-U12A,18.8 dB - 22.6 dB,nh-u12a,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
367,Rifle,,4500 RPM,"35 mm / 1.378""",False,Cooler Master,,35 dB,DK9-7G52A-0L-GP,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
368,,,300 - 1300 RPM,"159 mm / 6.26""",False,Thermalright,,14 dB - 20 dB,Le Grand Macho RT,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
369,,Black,1400 RPM,"159.4 mm / 6.276""",False,be quiet!,Dark Rock 4,,BK021,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
370,,Black,,,True,Corsair,H100x,,CW-9060040-WW,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
371,,,,"27 mm / 1.063""",False,Dynatron,,0 dB,T318,,LGA2011-3 Narrow
372,,White,2200 RPM,,True,Corsair,H100i RGB PLATINUM SE,36 dB,CW-9060041-WW,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066, TR4"
373,,,700 - 1300 RPM,"169 mm / 6.654""",False,CRYORIG,R1 Ultimate,23 dB,CR-R1A,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
374,Fluid Dynamic,,2400 RPM,"56 mm / 2.205""",False,SilenX,,8 dB - 24 dB,EFZ-92HA2,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
375,Sleeve,,800 - 2800 RPM,"84 mm / 3.307""",False,Cooler Master,Vortex Plus,17 dB - 35 dB,RR-VTPS-28PK-R1,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
376,Ball,,1700 - 3100 RPM,"70 mm / 2.756""",False,Rosewill,,18 dB - 33.4 dB,RCX-Z1,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
377,,,500 - 1300 RPM,"161 mm / 6.339""",False,Scythe,Ashura,13 dB - 30.7 dB,SCASR-1000,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
