,Bearing Type,Color,Fan RPM,Height,Liquid Cooled,Manufacturer,Model,Noise Level,Part Number,Radiator Size,Supported Sockets
157,,,300 - 1500 RPM,"165 mm / 6.496""",False,Noctua,,19.2 dB - 24.6 dB,NH-U14S,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
158,,,450 - 1850 RPM,"70 mm / 2.756""",False,Noctua,,16.8 dB - 23.9 dB,NH-L12S,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
159,,,300 - 1500 RPM,"165 mm / 6.496""",False,Noctua,,19.2 dB - 24.6 dB,NH-D15,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
160,,,300 - 1500 RPM,"158 mm / 6.22""",False,Noctua,,18.6 dB - 22.4 dB,NH-U12DXi4,,"AM4, LGA1366, LGA2011, LGA2011-3, LGA2011-3 Narrow, LGA2066"
161,,,600 - 2200 RPM,,True,CRYORIG,,13 dB - 37 dB,A40 ULTIMATE / CR-A4B / CR-A40U,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
162,,,1700 RPM,,True,Corsair,,30.32 dB,H50 / CW-9060006-WW,120mm,"LGA1150, LGA1151, LGA1155, LGA1156, LGA1366"
163,Fluid Dynamic,,900 - 2200 RPM,"138 mm / 5.433""",False,Gelid Solutions,SnowStorm,10 dB - 24.1 dB,CC-SnowStorm-01,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
164,,Black / Silver,600 - 2200 RPM,"124.6 mm / 4.906""",False,CRYORIG,,26.4 dB,M9 Plus / CR-M9PLUS / CR-M9PA,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156"
165,,,2000 RPM,,True,Corsair,H60,30.85 dB,H60 (CW-9060007-WW) / CW-9060007-WW / H60,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
166,Rifle,,2500 RPM,"63 mm / 2.48""",False,Thermaltake,,27 dB,CL-P0497,,LGA775
167,Ball,,1200 - 2600 RPM,"28 mm / 1.102""",False,Gelid Solutions,,15 dB - 27.2 dB,CC-Ssilence-APLUS,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+"
168,,Black,500 - 2300 RPM,,True,Enermax,Liqtech TR4 II 240,14 dB - 28 dB,ELC-LTTRTO240-TBP,240mm,TR4
169,,,700 - 1400 RPM,"167 mm / 6.575""",False,Deepcool,,17.8 dB - 31.1 dB,LUCIFER,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
170,,Black / Silver,600 - 1600 RPM,"158 mm / 6.22""",False,FSP Group,Windale 4,32 dB,AC401,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
171,,,500 - 2000 RPM,,True,NZXT,Kraken X52,21 dB - 36 dB,RL-KRX52-01,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066, TR4"
172,,,200 - 1800 RPM,"150 mm / 5.906""",False,ARCTIC,Freezer 33 eSports Edition (Black/Yellow),24.4 dB,ACFRE00034A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
173,Ball,,1000 - 5000 RPM,"29 mm / 1.142""",False,Dynatron,,20.5 dB - 49.8 dB,T195,,LGA775
174,Ball,,500 - 2000 RPM,"161 mm / 6.339""",False,Silverstone,,18 dB - 41 dB,SST-HE01,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
175,,,2800 RPM,"162 mm / 6.378""",False,EVGA,ACX,42.5 dB,100-FS-C201-KR,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
176,,,,,False,Rosewill,,,RCX-Z300,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
177,,Black / Gray,100 - 2700 RPM,"77 mm / 3.031""",False,ARCTIC,Alpine 12 CO,,ACALP00031A,,"LGA1150, LGA1151, LGA1155, LGA1156"
178,,,1400 - 2800 RPM,"134 mm / 5.276""",False,Zalman,,20 dB - 32 dB,CNPS5X Performa,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
179,,,2200 RPM,"162 mm / 6.378""",False,Enermax,,27 dB,ETS-T40F-W,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
180,,,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML240R RGB,6 dB - 30 dB,MLX-D24M-A20PC-R1,240mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
181,,,650 - 2000 RPM,"158 mm / 6.22""",False,Cooler Master,MasterAir MA410P,6 dB - 30 dB,MAP-T4PN-220PC-R1,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
182,,,,"109 mm / 4.291""",False,Silverstone,,0 dB,NT01-E,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775"
183,,Yellow / Black,200 - 2100 RPM,"157 mm / 6.181""",False,ARCTIC,Freezer 34 eSports,,ACFRE00058A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
184,,,800 - 2200 RPM,,True,Intel,,21 dB - 35 dB,BXTS13X,120mm,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
185,,Black,650 - 2000 RPM,,True,Cooler Master,MasterLiquid ML360R RGB,6 dB - 34 dB,MLX-D36M-A20PC-R1,360mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
186,,,500 - 1800 RPM,,True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN 120EX RGB,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
187,,,500 - 1800 RPM,,True,Deepcool,,17.6 dB - 31.3 dB,CAPTAIN 120EX WHITE,120mm,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
188,,,200 - 1800 RPM,"150 mm / 5.906""",False,ARCTIC,Freezer 33 eSports Edition (Black/White),24.4 dB,ACFRE00033A,,"AM4, LGA1150, LGA1151, LGA1155, LGA1156, LGA2011, LGA2011-3, LGA2066"
189,,,500 - 1500 RPM,"156 mm / 6.142""",False,Deepcool,,17.8 dB - 29.5 dB,GAMMAXX GT,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
190,,,600 - 1600 RPM,"165 mm / 6.496""",False,FSP Group,Windale 6,32 dB,AC602,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1356"
191,,,1400 - 2200 RPM,"165 mm / 6.496""",False,Evercool,,16 dB - 38 dB,HPO-12025,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
192,,Silver / Black,500 - 1800 RPM,"165 mm / 6.496""",False,Deepcool,,17.8 dB - 41.5 dB,Fryzen,,"AM2, AM2+, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4"
193,,,1500 - 2500 RPM,"27 mm / 1.063""",False,Thermaltake,Engine 27,13 dB - 25 dB,CL-P032-CA06SL-A,,"LGA1150, LGA1151, LGA1155, LGA1156"
194,Ball,,1200 - 2600 RPM,"28 mm / 1.102""",False,Gelid Solutions,,15 dB - 27.8 dB,CC-SSilence-iplus,,"LGA775, LGA1150, LGA1151, LGA1155, LGA1156"
195,Sleeve,,1000 - 2200 RPM,"159 mm / 6.26""",False,Silverstone,,16.39 dB - 33.5 dB,AR01,,"AM2, AM2+, AM3, AM3+, FM1, FM2, FM2+, LGA775, LGA1150, LGA1151, LGA1155, LGA1156, LGA1366, LGA2011, LGA2011-3, LGA2066"
