,Cores,Data Width,Includes CPU Cooler,Integrated Graphics,L1 Cache,L2 Cache,L3 Cache,Lithography,Manufacturer,Maximum Supported Memory,Model,Operating Frequency,Part Number,Simultaneous Multithreading,Simultaneous Multithreading Detail,Socket,Thermal Design Power,Turbo Frequency
341,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,22 nm,Intel,64 GB,Core i7-5960X,3 GHz,CM8064801547964,True,Hyper-Threading,LGA2011-3,140 W,3.5 GHz
342,4,64-bit,True,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-4790K,4 GHz,BX80646I74790K,True,Hyper-Threading,LGA1150,88 W,4.4 GHz
343,4,64-bit,True,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-3450S,2.8 GHz,BX80637I53450S / BX806237I53450S,False,,LGA1155,65 W,
344,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.5 GHz,CM8067702870650,True,Hyper-Threading,LGA1151,72 W,3.9 GHz
345,2,64-bit,True,Radeon Vega 3,"2 x 64 kB Instruction, 2 x 32 kB Data",2 x 512 kB,1 x 4 MB,14 nm,AMD,64 GB,,3.4 GHz,YD220GC6FBBOX,True,,AM4,35 W,
346,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 25 MB,22 nm,Intel,,Xeon E5-2643 V2,3.5 GHz,CM8063501287403,True,Hyper-Threading,LGA2011,130 W,3.8 GHz
347,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2690,2.9 GHz,CM8062101122501,True,Hyper-Threading,LGA2011,135 W,3.8 GHz
348,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,1 x 20 MB,32 nm,Intel,,Xeon E5-2650L,1.8 GHz,CM8062107185309,True,Hyper-Threading,LGA2011,70 W,2.3 GHz
349,8,64-bit,False,False,"8 x 32 kB Instruction, 8 x 32 kB Data",8 x 256 kB,8 x 1.5 MB,14 nm,Intel,64 GB,,3.6 GHz,BX80684I79700KF,False,,LGA1151,95 W,4.9 GHz
350,4,64-bit,True,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,45 nm,Intel,,Core i7-875K,2.93 GHz,BX80605I7875K,True,Hyper-Threading,LGA1156,95 W,
351,4,64-bit,True,Intel HD Graphics 2500,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 6 MB,22 nm,Intel,,Core i5-3570,3.4 GHz,BX80637i53570,False,,LGA1155,77 W,
352,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,6 x 1.5 MB,14 nm,Intel,64 GB,,3.7 GHz,BX80684I59600KF,False,,LGA1151,95 W,4.6 GHz
353,2,64-bit,True,Intel HD Graphics 4600,"2 x 32 kB Instruction, 2 x 32 kB Data",2 x 256 kB,1 x 4 MB,22 nm,Intel,,Core i3-4340,3.6 GHz,BX80646I34340,True,Hyper-Threading,LGA1150,54 W,
354,4,64-bit,False,Intel HD Graphics 4600,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,22 nm,Intel,,Core i7-4770K,3.5 GHz,BXF80646I74770K,True,Hyper-Threading,LGA1150,84 W,
355,6,64-bit,False,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 1 MB,1 x 8.25 MB,14 nm,Intel,128 GB,,3.5 GHz,BX80673I77800X,True,Hyper-Threading,LGA2066,140 W,4 GHz
356,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,14 nm,Intel,64 GB,,4 GHz,BX80684I78086K,True,Hyper-Threading,LGA1151,95 W,5 GHz
357,4,64-bit,True,False,"4 x 64 kB Instruction, 4 x 32 kB Data",4 x 512 kB,1 x 8 MB,14 nm,AMD,,,3.1 GHz,YD1200BBAEBOX,False,,AM4,65 W,3.4 GHz
358,4,64-bit,False,False,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3 GHz,CM8067702870812,False,,LGA1151,72 W,3.5 GHz
359,2,64-bit,False,False,"2 x 64 kB Instruction, 2 x 64 kB Data",2 x 1 MB,None,45 nm,AMD,,Athlon II X2 240,2.8 GHz,ADX240OCK23GQ,False,,AM3,65 W,
360,6,64-bit,False,Intel UHD Graphics 630,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 9 MB,14 nm,Intel,64 GB,,3.6 GHz,CM8068403358508,False,,LGA1151,95 W,4.3 GHz
361,4,64-bit,True,Intel HD Graphics P630,"4 x 32 kB Instruction, 4 x 32 kB Data",4 x 256 kB,1 x 8 MB,14 nm,Intel,64 GB,,3.8 GHz,BX80677E31275V6,True,Hyper-Threading,LGA1151,73 W,4.2 GHz
362,10,64-bit,False,False,"10 x 32 kB Instruction, 10 x 32 kB Data",10 x 1 MB,1 x 19.25 MB,14 nm,Intel,128 GB,,3.5 GHz,CD8067304126200,True,Hyper-Threading,LGA2066,165 W,4.4 GHz
363,6,64-bit,True,False,"6 x 32 kB Instruction, 6 x 32 kB Data",6 x 256 kB,1 x 12 MB,32 nm,Intel,,Core i7-980,3.333 GHz,BX80613I7980,True,Hyper-Threading,LGA1366,130 W,
